sample_id,sample_date,sample_loc,experiment,durafet_pH,spec_pH,chamber_co2,temperature,salinity,notes,deep_notes
3-26-16 M1,3/26/16,M1,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M3,3/26/16,M3,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M4,3/26/16,M4,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M10,3/26/16,M10,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M2,3/26/16,M2,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M6,3/26/16,M6,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M8,3/26/16,M8,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M9,3/26/16,M9,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M5,3/26/16,M5,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M7,3/26/16,M7,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
3-26-16 M13,3/26/16,M13,dgn_zoe_MOATS_2016,null,null,null,null,null,Dungeness Zoea MOATs exposure 2016,"11 bottles sent in case #2, shipped case #4"
7-5-16 M4,7/5/16,M4,dgn_meg_MOATS_2016,null,null,null,null,null,Dungeness Megalopae MOATs exposure 2016,3 bottles sent for the 7/5/716 timeframe
7-5-16 M5,7/5/16,M5,dgn_meg_MOATS_2016,null,null,null,null,null,Dungeness Megalopae MOATs exposure 2016,3 bottles sent for the 7/5/716 timeframe
7-5-16 M9,7/5/16,M9,dgn_meg_MOATS_2016,null,null,null,null,null,Dungeness Megalopae MOATs exposure 2016,3 bottles sent for the 7/5/716 timeframe
9-8-16 M4,9/8/16,M4,dgn_meg_MOATS_2016,null,null,null,null,null,Dungeness Megalopae MOATs exposure 2016,extra bottle
11-29-16 M11,11/29/16,M11,ptero_MOATS_2016,null,null,null,null,null,Pteropods MOATs 2016,9 bottles sent for 11/29/16 timeframe 
11-29-16 M12,11/29/16,M12,ptero_MOATS_2016,null,null,null,null,null,Pteropods MOATs 2016,2 of 9 bottles for 11/29/16
8-24-18 D,8/24/18,D,Salmon_Shed_2018to2019,null,null,null,null,null,Salmon Shed Monitoring,4 bottles labeled for 8/24/18 to cover 2018-2019 across all experiments
8-24-18 C,8/24/18,C,Salmon_Shed_2018to2019,null,null,null,null,null,Salmon Shed Monitoring,4 bottles labeled for 8/24/18 to cover 2018-2019 across all experiments
8-24-18 A,8/24/18,A,Salmon_Shed_2018to2019,null,null,null,null,null,Salmon Shed Monitoring,4 bottles labeled for 8/24/18 to cover 2018-2019 across all experiments
8-24-18 B,8/24/18,B,Salmon_Shed_2018to2019,null,null,null,null,null,Salmon Shed Monitoring,4 bottles labeled for 8/24/18 to cover 2018-2019 across all experiments
7-3-19 CH09,7/3/19,CH09,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
7-3-19 CH10,7/3/19,CH10,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
7-3-19 CH08,7/3/19,CH08,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
7-3-19 CH07,7/3/19,CH07,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
7-3-19 CH06,7/3/19,CH06,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
